segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,0,,140.53333333333333,125.53333333333333,155.53333333333333
stream,1,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,2,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,3,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,4,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,5,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,6,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,7,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,8,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,9,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,10,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,11,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,12,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,13,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,14,140.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,15,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,16,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,17,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,18,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,19,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,20,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,21,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,22,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,23,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,24,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,25,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,26,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,27,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,28,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,29,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,30,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,31,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,32,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,33,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,34,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,35,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,36,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,37,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,38,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,39,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,40,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,41,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,42,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,43,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,44,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,45,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,46,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,47,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,48,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,49,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,50,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,51,141.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,52,142.0,140.53333333333333,125.53333333333333,155.53333333333333
stream,53,142.0,140.53333333333333,125.53333333333333,155.53333333333333
