scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E1-FCS,G10,,PW-WTC,900,680,0.7555555555555555
E1-FCS,G10,,E-CCDC,900,48,0.05333333333333334
E1-FCS,G10,,CD2-P,900,49,0.05444444444444444
E1-FCS,G10,,clkBM,900,870,0.9666666666666667
E1-FCS,G12,,PW-WTC,900,800,0.8888888888888888
E1-FCS,G12,,E-CCDC,900,56,0.06222222222222222
E1-FCS,G12,,CD2-P,900,56,0.06222222222222222
E1-FCS,G12,,clkBM,900,870,0.9666666666666667
E1-FCS,G18,,PW-WTC,900,698,0.7755555555555556
E1-FCS,G18,,E-CCDC,900,49,0.05444444444444444
E1-FCS,G18,,CD2-P,900,97,0.10777777777777778
E1-FCS,G18,,clkBM,900,870,0.9666666666666667
E1-FCS,G23,,PW-WTC,900,807,0.8966666666666666
E1-FCS,G23,,E-CCDC,900,56,0.06222222222222222
E1-FCS,G23,,CD2-P,900,75,0.08333333333333333
E1-FCS,G23,,clkBM,900,870,0.9666666666666667
E1-FCS,G28,,PW-WTC,900,695,0.7722222222222223
E1-FCS,G28,,E-CCDC,900,52,0.057777777777777775
E1-FCS,G28,,CD2-P,900,67,0.07444444444444444
E1-FCS,G28,,clkBM,900,870,0.9666666666666667
E1-FCS,G32,,PW-WTC,900,784,0.8711111111111111
E1-FCS,G32,,E-CCDC,900,56,0.06222222222222222
E1-FCS,G32,,CD2-P,900,64,0.07111111111111111
E1-FCS,G32,,clkBM,900,870,0.9666666666666667
