segment,end_index,PW_WTC,E_CCDC,CD2_P
stream,0,,,
stream,1,,,
stream,2,,,
stream,3,,,
stream,4,,,
stream,5,,,
stream,6,,,
stream,7,,,
stream,8,,,
stream,9,,,
stream,10,,,
stream,11,,,
stream,12,,,
stream,13,,,
stream,14,,,
stream,15,,,
stream,16,,,
stream,17,,,
stream,18,,,
stream,19,,,
stream,20,,10.851223160328617,
stream,21,,10.542227505498289,0.5299403819664658
stream,22,,15.258847644227004,0.8024262789321173
stream,23,,16.021388921763318,1.1808555431663317
stream,24,,15.363541518878773,1.255144377298879
stream,25,,14.981896377723752,1.1865349329167738
stream,26,,14.727506609568898,1.1459283173581276
stream,27,,15.106499022722947,1.1634416544209816
stream,28,,16.8382385647795,1.1787176862434472
stream,29,,16.193376415861373,1.1721444663310192
stream,30,,16.21060725292352,1.159449355246521
stream,31,,15.975096869807041,1.1392720440177195
stream,32,,16.040975415911802,1.1655145032955196
stream,33,,14.654840331201783,1.152095558527612
stream,34,,15.195875944949528,1.1875185958213557
stream,35,,14.732845816816825,1.2080652262885148
stream,36,,15.166046161378011,1.2640113237926216
stream,37,,16.776525006117748,1.2591592228381852
stream,38,,17.781792178449464,1.2569764523724807
stream,39,,16.23443857594736,1.2717458797303727
stream,40,,16.36233350896925,1.2220762650044286
stream,41,,16.06917853446351,1.2219060959312367
stream,42,,12.688562951654411,0.9867028034951195
stream,43,,12.691950761432055,0.7287823095643231
stream,44,,12.595962905148019,0.6488522046430935
stream,45,,12.543138822008387,0.6340966248507314
stream,46,,13.008787138647586,0.6289795238502455
stream,47,,12.654123316077303,0.6060486779486272
stream,48,,13.703354536465518,0.6830302106260285
stream,49,,14.118079029714089,0.6940209107961739
stream,50,,17.066875281889644,0.7357542139207993
stream,51,,18.33164934385112,0.7590549775101885
stream,52,,19.863747611070632,0.7358233463707929
stream,53,,19.866967545984483,0.7670276053273778
stream,54,,19.528179205613007,0.7185108389217331
stream,55,,19.562390460035594,0.7158253931619658
stream,56,,17.75879414592898,0.6559054783780511
stream,57,,16.034758147103656,0.6686591971616039
stream,58,,14.980956887739776,0.6813189672899966
stream,59,,15.151350201190603,0.6360902815719953
stream,60,,15.031033928342314,0.6410916617296382
stream,61,,17.464526552401846,0.7209203493002057
stream,62,,19.626001410282807,0.6721162239731457
stream,63,,22.098933546600396,0.5258188475814454
stream,64,,22.050903840415735,0.7127612379209667
stream,65,,22.54542876229647,0.7046978721933445
stream,66,,21.95541361682382,0.6966734323134509
stream,67,,22.650495335499283,0.72711471381145
stream,68,,20.258902059020855,0.7227667880161556
stream,69,,20.009671593674174,0.6802761907160898
stream,70,,17.143983836982315,0.6390825452373209
stream,71,,15.930130571060555,0.619894958789075
stream,72,,13.62408082653559,0.6124389150662215
stream,73,,13.020214451668622,0.5971523132483204
stream,74,,12.782055013860724,0.551677477703744
stream,75,,12.749508126269177,0.5287981914257376
stream,76,,13.423854046023498,0.5365522010967427
stream,77,,15.637633075959844,0.5395845534660574
stream,78,,19.753656793632,0.5141892718557776
stream,79,,21.275860046753625,0.5468491193989581
stream,80,,21.273741761794632,0.6053533690215299
stream,81,,19.805168933196956,0.5393147469636251
stream,82,,18.442705632462417,0.7640111823181475
stream,83,,15.687687407748545,0.9222423592071962
stream,84,,15.560121933067915,0.7439298660312864
stream,85,,18.341891795645015,0.8957369229774631
stream,86,,18.289977631535606,0.9765479776270272
stream,87,,18.845682173497753,0.979209107260011
stream,88,,18.46316149724462,0.9264876870239616
stream,89,,18.695357403180804,0.9442190532445229
stream,90,,19.067222317167374,0.9438310100040196
stream,91,,19.38090965085988,0.9381698980316505
stream,92,,19.374171823029485,0.9632602229040589
stream,93,,19.919458289131537,0.9501954346406236
stream,94,,19.97565591138446,0.9866924526291811
stream,95,,19.970305590557185,0.9842195982874081
stream,96,,21.671373678083658,1.012255606241394
stream,97,,18.981857057383625,1.1517773357284542
stream,98,,15.260089373746796,1.1808912386363664
stream,99,,13.95112555434699,1.147254848087412
stream,100,,14.685358006658658,1.0856913078314905
stream,101,,14.285446478155746,1.0566706417290728
stream,102,,12.509216277967269,0.91524677307316
stream,103,,14.087725678729964,0.9386466701086505
stream,104,,14.098149653493113,1.0686962700315628
stream,105,,10.826652195197953,0.9174132215020402
stream,106,,10.8632192156303,0.839783088441238
stream,107,,11.268643067463492,0.8539698574985378
stream,108,,12.31968679079636,1.007314731700108
stream,109,,11.888930830978177,1.0213274880781196
stream,110,,13.391478463722095,1.0889436407879467
stream,111,,14.638832299622004,1.0899123616193271
stream,112,,15.273930899601119,1.0674583709573362
stream,113,,15.132866369197648,1.0665579540142136
stream,114,,16.370945701188305,1.030358264164113
stream,115,,22.542434424945874,1.518406447175259
stream,116,,21.543157532098057,1.5335599793569212
stream,117,,23.165994965864034,1.6063672544052632
stream,118,,23.29114199395964,1.6019334492114472
stream,119,,23.22589582340295,1.6755965210978494
stream,120,,22.500242433181857,1.6778879907081719
stream,121,,22.68010267292317,1.7256780654881096
stream,122,,22.673235802076285,1.6433209385312098
stream,123,,22.628969184370256,1.6159295751725493
stream,124,,22.601618531724736,1.5244199159505158
stream,125,,22.645319129803667,1.527494361119168
stream,126,,23.16620667516161,1.5624791094025863
stream,127,,21.48016388513392,1.518576081311402
stream,128,,21.259562559972018,1.347007772634465
stream,129,,21.46012720754125,1.4029513990757059
stream,130,,20.187054843548186,1.383388647050005
stream,131,,18.807375493444912,1.3861893242286825
stream,132,,18.175472769552876,1.3898117304940012
stream,133,,18.442715369611353,1.3962375163019973
stream,134,,18.037796596994912,1.5424173605822142
stream,135,,11.867325450756278,1.0833923255170141
stream,136,,10.424769875358937,1.0265180051204965
stream,137,,8.813351317071614,0.806774438186161
stream,138,,9.506350247175808,0.7995355472887486
stream,139,,9.553698676201057,0.8052915124933907
stream,140,,9.853084122189,0.7994093671435996
stream,141,,9.215230035938918,0.7538663295721308
stream,142,,9.008931756166456,0.7539092417637472
stream,143,,7.063231341213072,0.59935190854068
stream,144,,7.410912161253608,0.5515284242372646
stream,145,,7.96753927943411,0.5402404290464073
stream,146,,7.675879737142445,0.5057547009878801
stream,147,,7.840689998488006,0.5175781252494476
stream,148,,7.129618943057039,0.5162696033046577
stream,149,,9.119809500774975,0.4675194137892058
stream,150,,8.469979588324973,0.5451945931280642
stream,151,,8.243914816865834,0.5444282321518484
stream,152,,8.18520319097226,0.5381694916380102
stream,153,,7.470623932464104,0.5305343342033951
stream,154,,6.961333829591306,0.39206197689175826
stream,155,,8.578260948950934,0.38238257919979474
stream,156,,8.668184513726093,0.4884902331554211
stream,157,,8.469142695287768,0.4829407282036626
stream,158,,7.465442926517863,0.4811663324041861
stream,159,,7.107021814095431,0.4106698786518088
stream,160,,6.823043097675928,0.4091953444168806
stream,161,,8.102666825668262,0.4453680201639341
stream,162,,8.648604494746614,0.4526020430441866
stream,163,,9.051347219295419,0.4531725680822305
stream,164,,12.573821287430874,0.4938997800327043
stream,165,,13.453212656640353,0.5098258653696699
stream,166,,13.482309652246357,0.5291949761161644
stream,167,,13.54214368055585,0.4956063274149585
stream,168,,16.772253760706725,0.5342351829642411
stream,169,,14.635708345099705,0.5927253552113625
stream,170,,15.326411538684749,0.4753758922723301
stream,171,,15.64489131344216,0.4770874684153796
stream,172,,15.720071848712475,0.4831101871771872
stream,173,,15.747862705635743,0.4915762002733547
stream,174,,15.468818942760379,0.4826284578378591
stream,175,,14.130845019087365,0.4863367977265638
stream,176,,14.386115703035331,0.41116817018054186
stream,177,,14.395931099457831,0.41358692818268206
stream,178,,14.975371270766331,0.45090721195432215
stream,179,,15.81495645213302,0.4394119584795234
stream,180,,16.440484965608814,0.5256753777346787
stream,181,,15.65334775785793,0.6001855578624182
stream,182,,15.694619443873448,0.7057322535835195
stream,183,,15.178323230607342,0.7671790509629961
stream,184,,12.380432646344536,0.74404111600859
stream,185,,11.002308555598242,0.7403671276073768
stream,186,,11.351394986720527,0.7187459249523863
stream,187,,11.582173411349007,0.7174346287806497
stream,188,,8.221902715672654,0.6768224316037919
stream,189,,8.289700839489866,0.5867657665922842
stream,190,,11.126987536683501,0.6679864931240913
stream,191,,11.814864522933512,0.6957248010409637
stream,192,,12.168406270093328,0.7600942408472385
stream,193,,12.921944602501117,0.7507094184593592
stream,194,,12.872504124691613,0.7711118621961406
stream,195,,12.694549423009331,0.7609454237509389
stream,196,,12.607225253643204,0.7452657156319453
stream,197,,13.365174709503654,0.8037699619873665
stream,198,,12.688442559940928,0.7906785387155789
stream,199,,11.879273214033606,0.7914360146438008
stream,200,,11.235253214787058,0.7111077902146372
stream,201,,11.918917386329353,0.6785988837268021
stream,202,,11.232159981378699,0.5872232963903029
stream,203,,11.216933756078745,0.525205971085729
stream,204,,11.792312381346523,0.5429001369294181
stream,205,,12.829762775790037,0.5315243517566136
stream,206,,12.193971131210912,0.5741176440837347
stream,207,,11.761864100504976,0.5743656938124253
stream,208,,16.31191122074712,0.7849125608031697
stream,209,,17.211844622100333,0.8141761516273638
stream,210,,13.686217747244694,0.7837415038006847
stream,211,,12.955408116072558,0.7811893545057963
stream,212,,12.654986144880848,0.7107796452222342
stream,213,,12.020029111070755,0.7106770859115056
stream,214,,12.919156885700392,0.7059309294781896
stream,215,,13.323441780235985,0.8086442228983959
stream,216,,13.353220761973793,0.7942191407150803
