scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E3-JAM-SP,G15,,PW-WTC,301,301,1.0
E3-JAM-SP,G15,,E-CCDC,301,37,0.12292358803986711
E3-JAM-SP,G15,,CD2-P,301,0,0.0
E3-JAM-SP,G15,,clkBM,301,0,0.0
E3-JAM-SP,G18,,PW-WTC,301,301,1.0
E3-JAM-SP,G18,,E-CCDC,301,0,0.0
E3-JAM-SP,G18,,CD2-P,301,13,0.04318936877076412
E3-JAM-SP,G18,,clkBM,301,0,0.0
E3-JAM-SP,G24,,PW-WTC,301,301,1.0
E3-JAM-SP,G24,,E-CCDC,301,0,0.0
E3-JAM-SP,G24,,CD2-P,301,0,0.0
E3-JAM-SP,G24,,clkBM,301,0,0.0
