scene,satellite,role,method,sp_positions,sp_alarms,sp_detection_rate
E1-PCS,G05,control,PW-WTC,900,0,0.0
E1-PCS,G05,control,E-CCDC,900,0,0.0
E1-PCS,G05,control,CD2-P,900,0,0.0
E1-PCS,G05,control,clkBM,900,103,0.11444444444444445
E1-PCS,G11,target,PW-WTC,900,695,0.7722222222222223
E1-PCS,G11,target,E-CCDC,900,896,0.9955555555555555
E1-PCS,G11,target,CD2-P,900,900,1.0
E1-PCS,G11,target,clkBM,900,103,0.11444444444444445
E1-PCS,G15,control,PW-WTC,900,0,0.0
E1-PCS,G15,control,E-CCDC,900,4,0.0044444444444444444
E1-PCS,G15,control,CD2-P,900,16,0.017777777777777778
E1-PCS,G15,control,clkBM,900,103,0.11444444444444445
E1-PCS,G18,control,PW-WTC,900,0,0.0
E1-PCS,G18,control,E-CCDC,900,124,0.13777777777777778
E1-PCS,G18,control,CD2-P,900,63,0.07
E1-PCS,G18,control,clkBM,900,103,0.11444444444444445
E1-PCS,G24,control,PW-WTC,900,0,0.0
E1-PCS,G24,control,E-CCDC,900,0,0.0
E1-PCS,G24,control,CD2-P,900,8,0.008888888888888889
E1-PCS,G24,control,clkBM,900,103,0.11444444444444445
