segment,end_index,DeltaClkB_nsps,Baseline_nsps,LowerBound_nsps,UpperBound_nsps
stream,0,,478.045,463.045,493.045
stream,1,480.0,478.045,463.045,493.045
stream,2,479.0,478.045,463.045,493.045
stream,3,480.0,478.045,463.045,493.045
stream,4,479.0,478.045,463.045,493.045
stream,5,479.0,478.045,463.045,493.045
stream,6,479.0,478.045,463.045,493.045
stream,7,479.0,478.045,463.045,493.045
stream,8,479.0,478.045,463.045,493.045
stream,9,478.0,478.045,463.045,493.045
stream,10,479.0,478.045,463.045,493.045
stream,11,478.0,478.045,463.045,493.045
stream,12,478.0,478.045,463.045,493.045
stream,13,478.0,478.045,463.045,493.045
stream,14,478.0,478.045,463.045,493.045
stream,15,477.0,478.045,463.045,493.045
stream,16,478.0,478.045,463.045,493.045
stream,17,478.0,478.045,463.045,493.045
stream,18,477.0,478.045,463.045,493.045
stream,19,477.0,478.045,463.045,493.045
stream,20,478.0,478.045,463.045,493.045
stream,21,477.0,478.045,463.045,493.045
stream,22,477.0,478.045,463.045,493.045
stream,23,478.0,478.045,463.045,493.045
stream,24,478.0,478.045,463.045,493.045
stream,25,478.0,478.045,463.045,493.045
stream,26,479.0,478.045,463.045,493.045
stream,27,478.0,478.045,463.045,493.045
stream,28,478.0,478.045,463.045,493.045
stream,29,478.0,478.045,463.045,493.045
stream,30,477.0,478.045,463.045,493.045
stream,31,478.0,478.045,463.045,493.045
stream,32,477.0,478.045,463.045,493.045
stream,33,478.0,478.045,463.045,493.045
stream,34,478.0,478.045,463.045,493.045
stream,35,478.0,478.045,463.045,493.045
stream,36,478.0,478.045,463.045,493.045
stream,37,479.0,478.045,463.045,493.045
stream,38,478.0,478.045,463.045,493.045
stream,39,479.0,478.045,463.045,493.045
stream,40,478.0,478.045,463.045,493.045
stream,41,478.0,478.045,463.045,493.045
stream,42,479.0,478.045,463.045,493.045
stream,43,478.0,478.045,463.045,493.045
stream,44,478.0,478.045,463.045,493.045
stream,45,479.0,478.045,463.045,493.045
stream,46,478.0,478.045,463.045,493.045
stream,47,480.0,478.045,463.045,493.045
stream,48,479.0,478.045,463.045,493.045
stream,49,479.0,478.045,463.045,493.045
stream,50,478.0,478.045,463.045,493.045
stream,51,479.0,478.045,463.045,493.045
stream,52,479.0,478.045,463.045,493.045
stream,53,478.0,478.045,463.045,493.045
stream,54,479.0,478.045,463.045,493.045
stream,55,478.0,478.045,463.045,493.045
stream,56,478.0,478.045,463.045,493.045
stream,57,479.0,478.045,463.045,493.045
stream,58,479.0,478.045,463.045,493.045
stream,59,478.0,478.045,463.045,493.045
stream,60,479.0,478.045,463.045,493.045
stream,61,478.0,478.045,463.045,493.045
stream,62,479.0,478.045,463.045,493.045
stream,63,480.0,478.045,463.045,493.045
stream,64,479.0,478.045,463.045,493.045
stream,65,480.0,478.045,463.045,493.045
stream,66,479.0,478.045,463.045,493.045
stream,67,480.0,478.045,463.045,493.045
stream,68,479.0,478.045,463.045,493.045
stream,69,480.0,478.045,463.045,493.045
stream,70,480.0,478.045,463.045,493.045
